Job Title,Company,Experience Required,Location,Rating,Salary
Data Analyst,Fort Technologies,2-5 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.7,Not disclosed
Data Analyst,Clinicmind,3-4 Yrs,New Delhi,3.6,Not disclosed
Data Analyst,Clinicmind,3-4 Yrs,Noida,3.6,Not disclosed
Data Analyst,Clinicmind,3-4 Yrs,Gurugram,3.6,Not disclosed
Data Analyst,Avantor,5-10 Yrs,"Mumbai, Gurugram",3.6,Not disclosed
Data Analyst,Capco,4-8 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,Capco,7-8 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,Avantor,5-10 Yrs,Gurugram,3.6,Not disclosed
Data Analyst,Innovaccer,4-9 Yrs,Noida,3.5,Not disclosed
Data Analyst,,8-10 Yrs,"Delhi / NCR, Mumbai, Bengaluru",,Not disclosed
Data Analyst,Peroptyx,0-5 Yrs,Remote,3.0,
Data Analyst,Global Survey,0-1 Yrs,Noida,5.0,Not disclosed
Data Analyst,Global Survey,0-3 Yrs,Noida,5.0,Not disclosed
Data Analyst,Spyne,0-2 Yrs,Gurugram,3.7,Not disclosed
Data Analyst,Career Ambitious,0-2 Yrs,Gurugram,5.0,Not disclosed
Data Analyst,Scaleupally,0-2 Yrs,Noida,4.1,Not disclosed
Data Analyst,,0-5 Yrs,Noida,,Not disclosed
Market Risk Average Daily Traded Volume Data Analysis - Associate,JPMorgan Chase Bank,3-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.0,Not disclosed
Jr . BUSINESS DATA ANALYST,Nsight Consulting,,Gurugram,3.0,Unpaid
Data Analyst,Sleek Tech,1-4 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.5,Not disclosed
Data Analyst,Boston Consulting Group,1-4 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,Schneider Electric,3-7 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.2,Not disclosed
Data Analyst,,2-3 Yrs,Gurgaon,,Not disclosed
Data Analyst,Vericle,3-4 Yrs,New Delhi,1.6,Not disclosed
Data Analyst,Vericle,3-4 Yrs,Noida,1.6,Not disclosed
Data Analyst,Vericle,3-4 Yrs,Gurugram,1.6,Not disclosed
Data Analyst,Eurofins,3-6 Yrs,Faridabad,3.3,Not disclosed
Data Analyst,,3-6 Yrs,Faridabad,,Not disclosed
BUSINESS DATA ANALYST,Nsight Consulting,3-4 Yrs,Gurugram,3.0,Not disclosed
